program_id,var,degree,use_count,use_instr_count,live_range,spill_cost,K,label
cfg14_long_liveranges_mid.txt,t0,7,1,1,3,4,5,0
cfg14_long_liveranges_mid.txt,t1,5,1,1,2,3,5,1
cfg14_long_liveranges_mid.txt,t2,5,1,1,2,3,5,1
cfg15_branch_rejoin_mid2.txt,p,6,3,3,11,36,1,1
cfg15_branch_rejoin_mid2.txt,q,4,2,2,9,20,1,0
cfg15_branch_rejoin_mid2.txt,r,3,2,2,8,18,1,0
cfg15_branch_rejoin_mid2.txt,s,5,3,3,11,36,1,0
cfg15_branch_rejoin_mid2.txt,x,2,2,2,5,12,1,0
cfg15_branch_rejoin_mid2.txt,y,1,1,1,7,8,1,1
cfg15_branch_rejoin_mid2.txt,z,0,1,1,1,2,1,1
cfg15_branch_rejoin_mid2.txt,p,6,3,3,11,36,2,1
cfg15_branch_rejoin_mid2.txt,q,4,2,2,9,20,2,0
cfg15_branch_rejoin_mid2.txt,r,3,2,2,8,18,2,0
cfg15_branch_rejoin_mid2.txt,s,5,3,3,11,36,2,1
cfg15_branch_rejoin_mid2.txt,x,2,2,2,5,12,2,0
cfg15_branch_rejoin_mid2.txt,y,1,1,1,7,8,2,1
cfg15_branch_rejoin_mid2.txt,z,0,1,1,1,2,2,1
cfg15_branch_rejoin_mid2.txt,p,6,3,3,11,36,3,1
cfg15_branch_rejoin_mid2.txt,q,4,2,2,9,20,3,1
cfg15_branch_rejoin_mid2.txt,r,3,2,2,8,18,3,0
cfg15_branch_rejoin_mid2.txt,s,5,3,3,11,36,3,1
cfg15_branch_rejoin_mid2.txt,x,2,2,2,5,12,3,1
cfg15_branch_rejoin_mid2.txt,y,1,1,1,7,8,3,1
cfg15_branch_rejoin_mid2.txt,z,0,1,1,1,2,3,1
cfg15_branch_rejoin_mid2.txt,p,6,3,3,11,36,4,1
cfg15_branch_rejoin_mid2.txt,q,4,2,2,9,20,4,1
cfg15_branch_rejoin_mid2.txt,r,3,2,2,8,18,4,1
cfg15_branch_rejoin_mid2.txt,s,5,3,3,11,36,4,1
cfg15_branch_rejoin_mid2.txt,x,2,2,2,5,12,4,1
cfg15_branch_rejoin_mid2.txt,y,1,1,1,7,8,4,1
cfg15_branch_rejoin_mid2.txt,z,0,1,1,1,2,4,1
cfg15_branch_rejoin_mid2.txt,p,6,3,3,11,36,5,1
cfg15_branch_rejoin_mid2.txt,q,4,2,2,9,20,5,1
cfg15_branch_rejoin_mid2.txt,r,3,2,2,8,18,5,1
cfg15_branch_rejoin_mid2.txt,s,5,3,3,11,36,5,1
cfg15_branch_rejoin_mid2.txt,x,2,2,2,5,12,5,1
cfg15_branch_rejoin_mid2.txt,y,1,1,1,7,8,5,1
cfg15_branch_rejoin_mid2.txt,z,0,1,1,1,2,5,1
cfg16_loop_with_merge_mid.txt,acc,3,3,3,17,54,1,0
cfg16_loop_with_merge_mid.txt,base,3,2,2,16,34,1,0
cfg16_loop_with_merge_mid.txt,i,4,3,3,17,54,1,1
cfg16_loop_with_merge_mid.txt,t0,3,2,2,3,8,1,0
cfg16_loop_with_merge_mid.txt,acc,3,3,3,17,54,2,1
cfg16_loop_with_merge_mid.txt,base,3,2,2,16,34,2,0
